OriginID,calc_type,model,amplification,exposure,weight,file
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,damage,SAM,N/A,RF,0.525,calc_25816.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,PGV,RB,0.025,calc_25692.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,PGV,RF,0.075,calc_25695.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,SA03,RB,0.025,calc_25693.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,SA03,RF,0.075,calc_25696.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,SA1,RB,0.025,calc_25694.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,MIM,SA1,RF,0.075,calc_25697.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,SAM,N/A,RB,0.175,calc_25748.hdf5
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,risk,SAM,N/A,RF,0.525,calc_25749.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,PGV,RB,0.025,calc_25507.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,PGV,RF,0.075,calc_25510.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,SA03,RB,0.025,calc_25508.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,SA03,RF,0.075,calc_25511.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,SA1,RB,0.025,calc_25509.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,MIM,SA1,RF,0.075,calc_25512.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,SAM,N/A,RB,0.175,calc_25817.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,damage,SAM,N/A,RF,0.525,calc_25846.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,PGV,RB,0.025,calc_25275.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,PGV,RF,0.075,calc_25278.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,SA03,RB,0.025,calc_25276.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,SA03,RF,0.075,calc_25279.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,SA1,RB,0.025,calc_25277.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,MIM,SA1,RF,0.075,calc_25280.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,SAM,N/A,RB,0.175,calc_25437.hdf5
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,risk,SAM,N/A,RF,0.525,calc_25438.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,PGV,RB,0.025,calc_25513.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,PGV,RF,0.075,calc_25516.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,SA03,RB,0.025,calc_25514.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,SA03,RF,0.075,calc_25517.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,SA1,RB,0.025,calc_25515.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,MIM,SA1,RF,0.075,calc_25518.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,SAM,N/A,RB,0.175,calc_25847.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,damage,SAM,N/A,RF,0.525,calc_25848.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,PGV,RB,0.025,calc_25281.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,PGV,RF,0.075,calc_25284.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,SA03,RB,0.025,calc_25282.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,SA03,RF,0.075,calc_25285.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,SA1,RB,0.025,calc_25283.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,MIM,SA1,RF,0.075,calc_25286.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,SAM,N/A,RB,0.175,calc_25439.hdf5
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,risk,SAM,N/A,RF,0.525,calc_25440.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,PGV,RB,0.025,calc_25519.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,PGV,RF,0.075,calc_25522.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,SA03,RB,0.025,calc_25520.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,SA03,RF,0.075,calc_25523.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,SA1,RB,0.025,calc_25521.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,MIM,SA1,RF,0.075,calc_25524.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,SAM,N/A,RB,0.175,calc_25849.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,damage,SAM,N/A,RF,0.525,calc_25850.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,PGV,RB,0.025,calc_25287.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,PGV,RF,0.075,calc_25290.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,SA03,RB,0.025,calc_25288.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,SA03,RF,0.075,calc_25291.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,SA1,RB,0.025,calc_25289.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,MIM,SA1,RF,0.075,calc_25292.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,SAM,N/A,RB,0.175,calc_25441.hdf5
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,risk,SAM,N/A,RF,0.525,calc_25442.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,PGV,RB,0.025,calc_25774.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,PGV,RF,0.075,calc_25777.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,SA03,RB,0.025,calc_25775.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,SA03,RF,0.075,calc_25778.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,SA1,RB,0.025,calc_25776.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,MIM,SA1,RF,0.075,calc_25779.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,SAM,N/A,RB,0.175,calc_25851.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,damage,SAM,N/A,RF,0.525,calc_25852.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,PGV,RB,0.025,calc_25698.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,PGV,RF,0.075,calc_25701.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,SA03,RB,0.025,calc_25699.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,SA03,RF,0.075,calc_25702.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,SA1,RB,0.025,calc_25700.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,MIM,SA1,RF,0.075,calc_25703.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,SAM,N/A,RB,0.175,calc_25750.hdf5
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,risk,SAM,N/A,RF,0.525,calc_25751.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,PGV,RB,0.025,calc_25780.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,PGV,RF,0.075,calc_25783.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,SA03,RB,0.025,calc_25781.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,SA03,RF,0.075,calc_25784.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,SA1,RB,0.025,calc_25782.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,MIM,SA1,RF,0.075,calc_25785.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,SAM,N/A,RB,0.175,calc_25853.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,damage,SAM,N/A,RF,0.525,calc_25854.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,PGV,RB,0.025,calc_25704.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,PGV,RF,0.075,calc_25707.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,SA03,RB,0.025,calc_25705.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,SA03,RF,0.075,calc_25708.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,SA1,RB,0.025,calc_25706.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,MIM,SA1,RF,0.075,calc_25709.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,SAM,N/A,RB,0.175,calc_25752.hdf5
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,risk,SAM,N/A,RF,0.525,calc_25753.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,PGV,RB,0.025,calc_25525.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,PGV,RF,0.075,calc_25528.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,SA03,RB,0.025,calc_25526.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,SA03,RF,0.075,calc_25529.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,SA1,RB,0.025,calc_25527.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,MIM,SA1,RF,0.075,calc_25530.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,SAM,N/A,RB,0.175,calc_25855.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,damage,SAM,N/A,RF,0.525,calc_25856.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,PGV,RB,0.025,calc_25293.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,PGV,RF,0.075,calc_25296.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,SA03,RB,0.025,calc_25294.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,SA03,RF,0.075,calc_25297.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,SA1,RB,0.025,calc_25295.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,MIM,SA1,RF,0.075,calc_25298.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,SAM,N/A,RB,0.175,calc_25443.hdf5
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,risk,SAM,N/A,RF,0.525,calc_25444.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,PGV,RB,0.025,calc_25786.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,PGV,RF,0.075,calc_25789.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,SA03,RB,0.025,calc_25787.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,SA03,RF,0.075,calc_25790.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,SA1,RB,0.025,calc_25788.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,MIM,SA1,RF,0.075,calc_25791.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,SAM,N/A,RB,0.175,calc_25857.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,damage,SAM,N/A,RF,0.525,calc_25858.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,PGV,RB,0.025,calc_25710.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,PGV,RF,0.075,calc_25713.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,SA03,RB,0.025,calc_25711.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,SA03,RF,0.075,calc_25714.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,SA1,RB,0.025,calc_25712.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,MIM,SA1,RF,0.075,calc_25715.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,SAM,N/A,RB,0.175,calc_25754.hdf5
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,risk,SAM,N/A,RF,0.525,calc_25755.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,PGV,RB,0.025,calc_25531.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,PGV,RF,0.075,calc_25534.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,SA03,RB,0.025,calc_25532.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,SA03,RF,0.075,calc_25535.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,SA1,RB,0.025,calc_25533.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,MIM,SA1,RF,0.075,calc_25536.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,SAM,N/A,RB,0.175,calc_25859.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,damage,SAM,N/A,RF,0.525,calc_25860.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,PGV,RB,0.025,calc_25299.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,PGV,RF,0.075,calc_25302.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,SA03,RB,0.025,calc_25300.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,SA03,RF,0.075,calc_25303.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,SA1,RB,0.025,calc_25301.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,MIM,SA1,RF,0.075,calc_25304.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,SAM,N/A,RB,0.175,calc_25445.hdf5
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,risk,SAM,N/A,RF,0.525,calc_25446.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,PGV,RB,0.025,calc_26261.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,PGV,RF,0.075,calc_26264.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,SA03,RB,0.025,calc_26262.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,SA03,RF,0.075,calc_26265.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,SA1,RB,0.025,calc_26263.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,MIM,SA1,RF,0.075,calc_26266.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,SAM,N/A,RB,0.175,calc_26267.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,damage,SAM,N/A,RF,0.525,calc_26268.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,PGV,RB,0.025,calc_26253.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,PGV,RF,0.075,calc_26256.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,SA03,RB,0.025,calc_26254.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,SA03,RF,0.075,calc_26257.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,SA1,RB,0.025,calc_26255.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,MIM,SA1,RF,0.075,calc_26258.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,SAM,N/A,RB,0.175,calc_26259.hdf5
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,risk,SAM,N/A,RF,0.525,calc_26260.hdf5
