sid,eid,gmv_PGA,gmv_SA(0.1),gmv_SA(0.3),gmv_SA(0.4)
2,25,0.19568188,0.2346963,0.5353806,1.064228
3,25,0.75482726,1.1453798,0.4984096,2.7335656
4,25,0.7209606,1.9476446,0.7695595,0.98977154
5,25,0.6057803,1.9905729,0.4383709,2.3525133
6,25,0.2471673,0.5192727,0.23861451,0.42073157
0,26,0.054826576,0.08740811,0.05983627,0.1787978
1,26,0.3842585,0.40164468,0.49537104,0.34477267
2,26,0.6846777,0.35407075,0.42664096,0.7181793
3,26,1.1200126,1.685621,1.2723274,0.7044331
4,26,0.8024645,0.69737995,0.61055106,0.60646856
5,26,0.5817954,0.8265784,1.2456932,0.43251523
6,26,0.2910927,0.26485494,0.6242846,0.15462032
0,27,0.051792532,0.35146138,0.414654,0.0539059
1,27,0.2612986,0.630849,0.40151516,0.3126591
2,27,0.14487384,0.779161,0.5217289,0.063780464
3,27,0.46828672,2.9185257,4.0146036,0.86054045
4,27,0.81897455,1.8055646,3.5841856,1.6860996
5,27,0.36399376,1.2690797,1.4746373,1.0762745
6,27,0.27822196,1.0803307,2.4595256,0.2874121
0,28,0.07657603,0.093801804,0.20888554,0.38733363
1,28,0.061593737,0.6513931,0.83588237,0.4789804
2,28,0.30859256,0.5938005,0.2751059,0.73147464
3,28,0.4161519,1.154796,1.6038659,1.2099102
4,28,0.2511726,1.1656219,2.3367896,0.43252134
5,28,0.1472308,3.1570437,1.8140196,0.95989853
6,28,0.06400244,0.6472798,0.5107785,0.27166095
0,29,0.018977739,0.0642554,0.30691954,0.15533338
1,29,0.12698604,0.32384118,0.54738575,0.39362922
2,29,0.15233335,0.24828184,0.4799238,0.21137348
3,29,0.25518325,1.1451153,1.3703524,1.4876881
4,29,0.18099338,0.69831365,0.98626286,4.2719526
5,29,0.39612734,0.67235005,0.50551754,1.4223105
6,29,0.0803522,0.32145298,0.52103525,0.81621426
0,30,0.080806084,0.07539654,0.11447022,0.09742298
1,30,0.19108565,0.2729672,0.28207034,0.7080809
2,30,0.31108925,0.22184063,0.51785624,0.3701615
3,30,0.5134814,0.33032534,0.74334925,1.3080981
4,30,0.3165128,0.84796596,1.9682357,1.7457469
5,30,0.5893972,1.5678401,1.1281565,1.5908726
6,30,0.23198612,0.37681973,0.34215316,0.8164972
0,31,0.04941787,0.21094847,0.14764278,0.05131429
1,31,0.15812631,0.42157492,0.51116264,0.2032601
2,31,0.22191732,0.71949285,0.3614014,0.19938739
3,31,0.6915892,1.5173233,1.1490307,1.1053244
4,31,0.7024585,1.1784022,1.2723821,1.3590105
5,31,2.0130346,0.73132575,1.1516471,1.3991953
