site_id,lon,lat
102,6.09452,46.19893
103,6.09474,46.18994
104,6.09496,46.18094
105,6.09519,46.17195
106,6.09541,46.16295
107,6.09563,46.15396
108,6.09585,46.14496
109,6.10061,46.47791
110,6.10128,46.45092
111,6.1015,46.44193
112,6.10173,46.43294
113,6.10195,46.42394
114,6.10549,46.28003
115,6.10571,46.27104
116,6.10637,46.24405
117,6.10659,46.23506
118,6.10681,46.22607
119,6.10703,46.21707
120,6.10725,46.20808
121,6.10747,46.19908
122,6.10769,46.19009
123,6.10791,46.18109
124,6.10813,46.1721
125,6.10835,46.16311
126,6.10857,46.15411
127,6.10879,46.14512
128,6.11275,46.51404
129,6.11297,46.50504
130,6.11385,46.46907
131,6.11407,46.46007
132,6.11429,46.45108
133,6.11473,46.43309
134,6.11759,46.31616
135,6.11781,46.30717
136,6.11824,46.28918
137,6.11846,46.28018
138,6.11868,46.27119
139,6.1189,46.2622
140,6.11912,46.2532
141,6.11934,46.24421
142,6.11955,46.23521
143,6.11977,46.22622
144,6.11999,46.21722
145,6.12021,46.20823
146,6.12043,46.19924
147,6.12064,46.19024
148,6.12086,46.18125
149,6.12108,46.17225
150,6.1213,46.16326
151,6.12151,46.15426
152,6.12173,46.14527
153,6.12403,46.58614
154,6.12425,46.57715
155,6.12556,46.52318
156,6.12578,46.51419
157,6.126,46.50519
158,6.12665,46.47821
159,6.12731,46.45123
160,6.12753,46.44223
161,6.12774,46.43324
162,6.12818,46.41525
163,6.12883,46.38827
164,6.13057,46.31631
165,6.13078,46.30732
166,6.13122,46.28933
167,6.13143,46.28034
168,6.13165,46.27134
169,6.13187,46.26235
170,6.13208,46.25335
171,6.1323,46.24436
172,6.13252,46.23536
173,6.13273,46.22637
174,6.13295,46.21737
175,6.13316,46.20838
176,6.13338,46.19939
177,6.13359,46.19039
178,6.13381,46.1814
179,6.13403,46.1724
180,6.13424,46.16341
181,6.13446,46.15441
182,6.13467,46.14542
183,6.13751,46.56831
184,6.13859,46.52333
185,6.13881,46.51434
186,6.13989,46.46937
187,6.14011,46.46037
188,6.14032,46.45138
189,6.14054,46.44238
190,6.1414,46.40641
191,6.14161,46.39741
192,6.14183,46.38842
193,6.14204,46.37942
194,6.14312,46.33445
195,6.14355,46.31646
196,6.14376,46.30747
197,6.14398,46.29847
198,6.14419,46.28948
199,6.14441,46.28048
200,6.14462,46.27149
201,6.14483,46.2625
202,6.14505,46.2535
203,6.14526,46.24451
204,6.14548,46.23551
205,6.14569,46.22652
206,6.1459,46.21752
207,6.14612,46.20853
208,6.14633,46.19954
209,6.14655,46.19054
210,6.14676,46.18155
211,6.14697,46.17255
212,6.14719,46.16356
213,6.1474,46.15456
214,6.14761,46.14557
215,6.14991,46.59544
216,6.15012,46.58644
217,6.15098,46.55047
218,6.1512,46.54147
219,6.15141,46.53248
220,6.15162,46.52348
221,6.15205,46.50549
222,6.15248,46.4875
223,6.15312,46.46052
224,6.15333,46.45153
225,6.15355,46.44253
226,6.15376,46.43354
227,6.15419,46.41555
228,6.1544,46.40655
229,6.15461,46.39756
230,6.15483,46.38857
231,6.15504,46.37957
232,6.15525,46.37058
233,6.15568,46.35259
234,6.15589,46.34359
235,6.1561,46.3346
236,6.15632,46.3256
237,6.15653,46.31661
238,6.15695,46.29862
239,6.15717,46.28963
240,6.15738,46.28063
241,6.15759,46.27164
242,6.1578,46.26264
243,6.15801,46.25365
244,6.15823,46.24465
245,6.15886,46.21767
246,6.15907,46.20868
247,6.15928,46.19968
248,6.1595,46.19069
249,6.15971,46.18169
250,6.15992,46.1727
251,6.16013,46.16371
252,6.16034,46.15471
253,6.16274,46.60458
254,6.16338,46.5776
255,6.16359,46.5686
256,6.16381,46.55961
257,6.16402,46.55061
258,6.16423,46.54162
259,6.16444,46.53262
260,6.1655,46.48765
261,6.16571,46.47866
262,6.16592,46.46966
263,6.16635,46.45167
264,6.16656,46.44268
265,6.16719,46.4157
