site_id,lon,lat
564,6.1928,46.15977
565,6.20771,46.62737
566,6.20781,46.62747
567,6.20812,46.60938
568,6.20822,46.60948
569,6.20832,46.60958
570,6.20842,46.60968
571,6.20852,46.60978
572,6.20853,46.59139
573,6.20863,46.59149
574,6.20873,46.59159
575,6.20883,46.59169
576,6.20893,46.59179
577,6.20894,46.5734
578,6.20904,46.5735
579,6.20914,46.5736
580,6.20924,46.5737
581,6.20934,46.5738
582,6.20935,46.55541
583,6.20945,46.55551
584,6.20955,46.55561
585,6.20965,46.55571
586,6.20976,46.53742
587,6.21016,46.51943
588,6.21026,46.51953
589,6.21036,46.51963
590,6.21046,46.51973
591,6.21057,46.50145
592,6.21067,46.50155
593,6.21077,46.50165
594,6.21098,46.48346
595,6.21108,46.48356
596,6.21118,46.48366
597,6.21128,46.48376
598,6.21138,46.48386
599,6.21139,46.46547
600,6.21149,46.46557
601,6.21159,46.46567
602,6.21169,46.46577
603,6.21179,46.46587
604,6.2118,46.44748
605,6.2119,46.44758
606,6.212,46.44768
607,6.2121,46.44778
608,6.2122,46.42949
609,6.2122,46.44788
610,6.2123,46.42959
611,6.2124,46.42969
612,6.2125,46.42979
613,6.2126,46.42989
614,6.21261,46.4115
615,6.21271,46.4116
616,6.21281,46.4117
617,6.21291,46.4118
618,6.21301,46.4119
619,6.21302,46.39351
620,6.21312,46.39361
621,6.21322,46.39371
622,6.21332,46.39381
623,6.21342,46.37552
624,6.21342,46.39391
625,6.21352,46.37562
626,6.21362,46.37572
627,6.21372,46.37582
628,6.21382,46.37592
629,6.21383,46.35753
630,6.21393,46.35763
631,6.21403,46.35773
632,6.21413,46.35783
633,6.21423,46.35793
634,6.21424,46.33954
635,6.21434,46.33964
636,6.21444,46.33974
637,6.21454,46.33984
638,6.21464,46.32155
639,6.21464,46.33994
640,6.21474,46.32165
641,6.21484,46.32175
642,6.21494,46.32185
643,6.21545,46.28558
644,6.21555,46.28568
645,6.21565,46.28578
646,6.21575,46.28588
647,6.21585,46.28598
648,6.21586,46.26759
649,6.21596,46.26769
650,6.21606,46.26779
651,6.21616,46.26789
