lat,lon,psa03_%g,lnpsa03_uncertainty
47.8,7.7833,4.858,0.6244
47.8,7.7917,4.811,0.6236
47.8,7.8,4.763999999999999,0.6228
47.8,7.8083,4.715999999999999,0.622
47.8,7.8167,4.667,0.6211
47.8,7.825,4.619,0.6202
47.8,7.8333,4.57,0.6193
47.8,7.8417,4.521,0.6184
47.8,7.85,4.4719999999999995,0.6174
47.8,7.8583,4.423,0.6164
47.8,7.8667,4.374,0.6154
47.8,7.875,4.324999999999999,0.6144
47.8,7.8833,4.276,0.6134
47.8,7.8917,4.228,0.6123
47.8,7.9,4.18,0.6113
47.8,7.9083,4.133,0.6102
47.8,7.9167,4.086,0.6091
47.8,7.925,4.039,0.6082
47.8,7.9333,3.9929999999999994,0.6082
47.8,7.9417,3.9469999999999996,0.6082
47.8,7.95,3.902,0.6082
47.8,7.9583,3.858,0.6082
47.8,7.9667,3.814,0.6082
47.8,7.975,3.7700000000000005,0.6082
47.8,7.9833,3.7279999999999998,0.6082
47.8,7.9917,3.685,0.6082
47.8,8,3.644,0.6082
47.8,8.0083,3.6029999999999998,0.6082
47.8,8.0167,3.5620000000000003,0.6082
47.8,8.025,3.522,0.6082
47.8,8.0333,3.483,0.6082
47.8,8.0417,3.444,0.6082
47.8,8.05,3.406,0.6082
47.8,8.0583,3.3689999999999998,0.6082
47.8,8.0667,3.332,0.6082
47.8,8.075,3.296,0.6082
47.8,8.0833,3.26,0.6082
47.8,8.0917,3.225,0.6082
47.8,8.1,3.19,0.6082
47.8,8.1083,3.1559999999999997,0.6082
47.8,8.1167,3.1229999999999993,0.6082
47.8,8.125,3.09,0.6082
47.8,8.1333,3.0579999999999994,0.6082
47.8,8.1417,3.0260000000000002,0.6082
47.8,8.15,2.9949999999999997,0.6082
47.8,8.1583,2.9639999999999995,0.6082
47.8,8.1667,2.934,0.6082
47.8,8.175,1.6800000000000002,0.6082
47.8,8.1833,2.875,0.6082
47.8,8.1917,1.4249999999999998,0.6082
47.8,8.2,2.9619999999999997,0.6082
47.8,8.2083,1.571,0.6082
47.8,8.2167,1.636,0.6082
47.8,8.225,1.573,0.6082
47.8,8.2333,1.5059999999999998,0.6082
47.8,8.2417,1.604,0.6082
47.8,8.25,3.0109999999999997,0.6082
47.8,8.2583,2.012,0.6082
47.8,8.2667,1.8419999999999999,0.6082
47.8,8.275,2.6,0.6082
47.8,8.2833,2.766,0.6082
47.8,8.2917,3.05,0.6082
47.8,8.3,2.7329999999999997,0.6082
47.8,8.3083,1.4040000000000001,0.6082
47.8,8.3167,1.349,0.6082
47.8,8.325,1.188,0.6082
47.8,8.3333,1.826,0.6082
47.8,8.3417,2.4459999999999997,0.6082
47.8,8.35,2.4509999999999996,0.6082
47.8,8.3583,1.3719999999999999,0.6082
47.8,8.3667,1.569,0.6082
47.8,8.375,1.651,0.6082
47.8,8.3833,1.4809999999999999,0.6082
47.8,8.3917,1.3760000000000001,0.6082
47.8,8.4,1.4040000000000001,0.6082
47.8,8.4083,1.511,0.6082
47.8,8.4167,1.722,0.6082
47.8,8.425,1.648,0.6082
47.8,8.4333,1.2329999999999999,0.6082
47.8,8.4417,1.6649999999999998,0.6082
47.8,8.45,1.646,0.6082
47.8,8.4583,1.412,0.6082
47.8,8.4667,1.639,0.6082
47.8,8.475,1.2049999999999998,0.6082
47.8,8.4833,1.256,0.6082
47.8,8.4917,1.122,0.6082
47.8,8.5,1.128,0.6082
47.8,8.5083,1.6250000000000002,0.6082
47.8,8.5167,1.7939999999999998,0.6082
47.8,8.525,1.5279999999999998,0.6082
47.8,8.5333,1.7510000000000001,0.6082
47.8,8.5417,1.614,0.6082
47.8,8.55,1.057,0.6082
47.8,8.5583,1.538,0.6082
47.8,8.5667,1.3179999999999998,0.6082
47.8,8.575,1.279,0.6082
47.8,8.5833,1.501,0.6082
47.8,8.5917,1.427,0.6082
47.8,8.6,1.5199999999999998,0.6082
47.8,8.6083,1.2040000000000002,0.6082
47.8,8.6167,1.5909999999999997,0.6082
47.8,8.625,1.4040000000000001,0.6082
47.8,8.6333,1.7829999999999997,0.6082
47.8,8.6417,1.5679999999999998,0.6082
47.8,8.65,1.4439999999999997,0.6082
47.8,8.6583,1.325,0.6082
47.8,8.6667,1.322,0.6082
47.8,8.675,1.317,0.6082
47.8,8.6833,1.509,0.6082
47.8,8.6917,1.313,0.6082
47.8,8.7,1.2309999999999999,0.6082
47.8,8.7083,1.284,0.6082
47.8,8.7167,3.9149999999999996,0.6082
47.8,8.725,2.529,0.6082
47.8,8.7333,1.2619999999999998,0.6082
47.8,8.7417,1.244,0.6082
47.8,8.75,0.8919,0.6082
47.8,8.7583,1.24,0.6082
47.8,8.7667,1.36,0.6082
47.8,8.775,1.98,0.6082
47.8,8.7833,0.8424999999999999,0.6082
47.8,8.7917,0.9409999999999998,0.6082
47.8,8.8,0.9284999999999999,0.6082
47.8,8.8083,0.9158999999999998,0.6082
47.8,8.8167,0.7716,0.6082
47.8,8.825,1.44,0.6082
47.8,8.8333,1.9249999999999996,0.6082
47.8,8.8417,2.046,0.6082
47.8,8.85,2.196,0.6082
47.8,8.8583,2.118,0.6082
47.8,8.8667,2.7049999999999996,0.6082
47.8,8.875,2.863,0.6082
47.8,8.8833,1.9,0.6082
47.8,8.8917,1.646,0.6082
47.8,8.9,1.4049999999999998,0.6082
47.8,8.9083,1.226,0.6082
47.8,8.9167,2.042,0.6082
47.8,8.925,2.976,0.6082
47.8,8.9333,1.554,0.6082
47.8,8.9417,1.058,0.6082
47.8,8.95,1.3499999999999999,0.6082
47.8,8.9583,1.066,0.6082
47.8,8.9667,1.081,0.6082
47.8,8.975,1.016,0.6082
47.8,8.9833,2.13,0.6082
47.8,8.9917,1.0239999999999998,0.6082
47.8,9,1.0110000000000001,0.6082
47.8,9.0083,0.8284,0.6082
47.8,9.0167,1.0359999999999998,0.6082
47.8,9.025,0.7737999999999999,0.6082
47.8,9.0333,0.8319000000000001,0.6082
47.8,9.0417,2.1069999999999998,0.6082
47.8,9.05,2.094,0.6082
47.8,9.0583,1.279,0.6082
47.8,9.0667,1.2709999999999997,0.6082
47.8,9.075,1.2639999999999998,0.6082
47.8,9.0833,0.9472999999999999,0.6082
47.8,9.0917,0.9453,0.6082
47.8,9.1,0.8808999999999999,0.6082
47.8,9.1083,0.9236,0.6082
47.8,9.1167,0.9738999999999999,0.6082
47.8,9.125,1.825,0.6082
47.8,9.1333,2.1029999999999998,0.6082
47.8,9.1417,0.9098999999999999,0.6082
47.8,9.15,0.9190999999999999,0.6082
47.8,9.1583,0.9581999999999999,0.6082
47.8,9.1667,0.8766,0.6082
47.8,9.175,1.3909999999999998,0.6082
47.8,9.1833,0.8957999999999998,0.6082
47.8,9.1917,0.8938,0.6082
47.8,9.2,0.8875,0.6082
47.8,9.2083,1.2029999999999998,0.6082
47.8,9.2167,0.9409999999999998,0.6082
47.8,9.225,0.8993000000000001,0.6082
47.8,9.2333,1.9859999999999998,0.6082
47.8,9.2417,0.8916,0.6082
47.8,9.25,1.307,0.6082
47.8,9.2583,1.9339999999999997,0.6082
47.8,9.2667,1.2709999999999997,0.6082
47.8,9.275,3.03,0.6082
47.8,9.2833,2.9160000000000004,0.6082
47.8,9.2917,1.6159999999999999,0.6082
47.8,9.3,0.9190999999999999,0.6082
47.8,9.3083,1.4060000000000001,0.6082
47.8,9.3167,0.8661000000000001,0.6082
47.8,9.325,0.8208000000000001,0.6082
47.8,9.3333,0.8154999999999999,0.6082
