eid,sid,gmv_MMI
43,4,0.88114
44,4,1.31977
45,4,1.58275
46,4,1.79103
47,4,1.24666
48,4,0.88649
49,4,0.50251
50,4,1.27453
51,4,1.05289
52,4,0.9312
53,4,1.47471
54,4,0.56073
55,4,0.99334
56,4,0.1798
57,4,0.97169
58,4,0.42883
59,4,0.57487
60,4,0.57252
61,4,1.13795
62,4,1.23835
63,4,1.07579
64,4,1.63953
65,4,0.88517
66,4,0.79626
67,4,1.40313
68,4,0.72636
69,4,1.64417
70,4,0.1892
71,4,1.67645
72,4,0.38255
73,4,1.44375
74,4,1.02502
75,4,1.88397
76,4,0.47869
77,4,1.04875
78,4,1.67343
79,4,1.02085
80,4,1.11889
81,4,1.1844
82,4,0.95889
83,4,1.11714
84,4,1.07666
85,4,1.46374
86,4,0.39135
87,4,0.79121
88,4,1.59359
89,4,1.44206
90,4,0.9599
91,4,1.1101
92,4,0.78737
93,4,0.68146
94,4,0.9672
95,4,0.86454
96,4,1.07605
97,4,0.48863
98,4,1.7019
99,4,1.79316
0,5,2.14399
1,5,1.94258
2,5,1.66632
3,5,2.31923
4,5,2.12606
5,5,1.43763
6,5,2.53285
7,5,2.33479
8,5,2.67217
9,5,2.18196
10,5,2.03547
11,5,1.803
12,5,2.60332
13,5,2.42075
14,5,1.10425
15,5,0.98957
16,5,1.75205
17,5,2.31357
18,5,2.95023
19,5,1.41372
20,5,2.01195
21,5,1.75752
22,5,2.78338
23,5,2.37151
24,5,2.36418
25,5,1.86308
26,5,1.79887
27,5,1.61681
28,5,1.1546
29,5,2.41784
30,5,2.31766
31,5,3.52058
32,5,3.17375
33,5,1.96552
34,5,2.24569
35,5,2.65016
36,5,2.38641
37,5,1.57906
38,5,1.84159
39,5,1.36872
40,5,2.69217
41,5,2.0266
42,5,1.55064
43,5,2.10897
44,5,2.04127
45,5,1.72921
46,5,1.33232
47,5,2.1088
48,5,1.92394
49,5,2.25086
50,5,1.92377
51,5,2.39154
52,5,1.96133
53,5,1.97207
54,5,2.44446
55,5,1.78516
56,5,1.37942
57,5,1.00747
58,5,2.22465
59,5,2.04396
60,5,2.152
61,5,1.5258
62,5,1.38452
63,5,0.87433
64,5,1.71964
65,5,2.00685
66,5,1.77147
67,5,1.82603
68,5,2.51364
69,5,1.71668
70,5,1.91648
71,5,2.26876
72,5,1.77672
73,5,2.04615
74,5,2.41277
75,5,2.6709
76,5,1.40694
77,5,2.58189
78,5,1.89071
79,5,1.59508
80,5,1.85177
81,5,2.86558
82,5,1.8913
83,5,1.69162
84,5,2.06021
85,5,1.56826
86,5,1.22627
87,5,1.3681
88,5,1.36623
89,5,1.4167
90,5,1.38977
91,5,2.06958
92,5,1.47313
93,5,1.71339
94,5,2.49383
95,5,1.8693
96,5,2.10359
97,5,1.45583
98,5,1.49134
99,5,1.08187
0,6,1.32081
1,6,1.50648
2,6,1.33659
3,6,1.12561
4,6,1.21409
5,6,1.75076
6,6,1.3904
7,6,1.62647
8,6,1.80428
9,6,2.04848
10,6,0.92064
11,6,2.21976
12,6,1.96315
13,6,1.10333
14,6,2.37174
15,6,2.50548
16,6,1.02711
17,6,1.50393
18,6,2.23199
19,6,2.13451
20,6,1.35087
21,6,1.39566
22,6,1.6347
23,6,1.7806
24,6,1.95045
25,6,1.63263
26,6,1.75297
27,6,2.13328
28,6,0.90473
29,6,1.46658
30,6,2.0816
31,6,2.42735
32,6,1.81464
33,6,1.84029
34,6,1.17915
35,6,1.7339
36,6,1.84093
37,6,1.45081
38,6,1.49245
39,6,1.64369
40,6,0.77386
41,6,1.56905
42,6,1.3993
43,6,1.57658
44,6,1.21191
45,6,2.41467
46,6,1.9184
47,6,2.03259
48,6,2.20177
49,6,1.79805
50,6,1.12002
51,6,1.84657
52,6,1.90971
53,6,2.1301
54,6,1.71392
55,6,1.23105
56,6,1.51417
57,6,1.62488
58,6,1.98716
59,6,1.88918
60,6,1.61554
61,6,2.90598
62,6,1.93416
63,6,1.44237
64,6,1.16427
65,6,1.28788
66,6,1.45637
67,6,1.30417
68,6,1.35469
69,6,1.51611
70,6,1.32954
71,6,2.43167
72,6,1.09825
73,6,1.83074
74,6,1.68674
75,6,2.85278
76,6,1.19212
77,6,1.67055
78,6,2.73653
79,6,2.3527
80,6,2.25213
81,6,1.47509
82,6,1.32467
83,6,2.01808
84,6,2.53558
85,6,1.87138
86,6,1.89024
87,6,1.50855
88,6,2.16859
89,6,1.35558
90,6,1.57128
91,6,1.706
92,6,1.80954
93,6,1.45071
94,6,1.1994
95,6,1.94047
96,6,1.52131
97,6,1.90253
98,6,1.29105
99,6,1.77635
